Buildfile: /home/cristobal/Documentos/tfm/gvgai-803dc6b1aa0044548c455875926dc25390f11e3b/build.xml

makedirectories:

compile:
     [echo] Compiling All sources ...
    [javac] Compiling 37 source files to /home/cristobal/Documentos/tfm/gvgai-803dc6b1aa0044548c455875926dc25390f11e3b/classes
    [javac] Note: Some input files use unchecked or unsafe operations.
    [javac] Note: Recompile with -Xlint:unchecked for details.

run:
     [echo] Executing Test.java ...
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:68.0, timesteps:730
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:69.0, timesteps:660
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:75.0, timesteps:814
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:70.0, timesteps:794
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:62.0, timesteps:532
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:68.0, timesteps:1031
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:56.0, timesteps:670
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:62.0, timesteps:764
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:64.0, timesteps:983
     [java] Result (1->win; 0->lose): Player0:1, Player0-Score:68.0, timesteps:617
     [java] Results in game examples/gridphysics/aliens.txt, 0.8 | 66.2
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:11.0, timesteps:388
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:11.0, timesteps:346
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:114.0, timesteps:334
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:10.0, timesteps:264
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:115.0, timesteps:472
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:7.0, timesteps:292
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:1.0, timesteps:52
     [java] Result (1->win; 0->lose): Player0:0, Player0-Score:8.0, timesteps:486
